本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
领导	lin3 tʰau6	lin3 tau5	ling3 dao3	赣			31739		
生活	sɛn1 uot8	sen1 wot7	sheng1 huo2	赣			281550		
时候	sɿ5 hɛu6	si4 heu5	shi2 hou4	官			281521		
一种	it7 tsuŋ3	yit6 zung3	yi1 zhong3	赣			281355		
可能	kʰo3 lɛn5	ko3 len4	ke3 neng2	赣			281213		
出来	tsʰuʔ7 lei5	cuk6 lei4	chu1 lai2	赣			281017		
学生	hɔʔ8 sɛn1	hok7 sen1	xue2 sheng1	赣			60776		
以及	i3 tɕit7	yi3 jit6	yi3 ji2	赣			260775		
石首	sɨt7 seu3	set6 seu3	shi2 shou3	赣			30746		
一般	it7 pon1	yit6 bon1	yi4 ban1	赣			220311		
同时	tʰuŋ2 sɿ5	tung2 si4	tong2 shi2	赣			280245		
认为	lɨn6 ui5	len5 wui4	ren4 wei2	赣			280204		
由于	iu5 y5	yiu4 yu4	you2 yu2	赣			30181		
所以	so3 i3	so3 yi3	suo3 yi3	官			279396		
不同	pet7 tʰuŋ2	bet6 tung2	bu4 tong2	赣			279383		
这里	tsa3 li3	za3 li3	zhe4 li3	官			279358		
学院	hɔʔ8 yon6	hok7 yuon5	xue2 yuan4	赣			54249		
两个	liɔŋ3 ko5	liong3 go4	liang3 ge4	赣			278947		
作为	tsɔʔ7 ui6	zok6 wui5	zuo4 wei2	赣			278567		
会议	fɨi6 ȵi6	fei5 ni5	hui4 yi4	赣			28363		
但是	tʰan6 sɿ6	tan5 si5	dan4 shi4	赣			278055		
部分	pʰu6 fɨn1	pu5 fen1	bu4 fen4	赣			277619		
活动	uot8 tʰuŋ6	wot7 tung5	huo2 dong4	赣			52526		
需要	ɕy1 iɛu1	xyu1 yeu1	xu1 yao4	赣			277430		
怎么	tsɛn3 iɛu1	zen3 yeu1	zen3 me5	赣			277339		
管理	kuon3 li3	guon3 li3	guan3 li3	赣			277191		
方面	fɔŋ1 miɛn6	fong1 mien5	fang1 mian4	赣			181963		
市场	sɿ6 tsʰɔŋ3	si5 cong3	shi4 chang3	赣			196927		
组织	tsu3 tsɨt7	zu3 zet6	zu3 zhi1	赣			161922		
工业	kuŋ1 ȵiɛt7	gung1 niet6	gong1 ye4	赣			76775		
建设	tɕiɛn5 sɛt7	jien4 set6	jian4 she4	赣			276381		
其他	tɕʰi2 tʰa1	qi2 ta1	qi2 ta1	赣			275753		
出现	tsʰuʔ7 ɕiɛn5	cuk6 xien4	chu1 xian4	赣			275633		
许多	ɕy3 to1	xyu3 do1	xu3 duo1	赣			55601		
之间	tsɿ1 kan1	zi1 gan1	zhi1 jian1	赣			100306		
具有	tɕʰy6 iu3	qyu5 yiu3	ju4 you3	赣			105225		
城市	tsʰɨn2 sɿ6	cen2 si5	cheng2 shi4	赣			30084		
以上	i3 sɔŋ6	yi3 song5	yi3 shang4	赣			254969		
政治	tsɨn5 tsʰɿ6	zen4 ci5	zheng4 zhi4	赣			224866		
人们	ȵin5 mɨn5	nin4 men4	ren2 men5	赣			24841		
委员会	ui3 yon5 fɨi6	wui3 yuon4 fei5	wei3 yuan2 hui4	赣			24831		
发现	fat7 ɕiɛn6	fat6 xien5	fa1 xian4	赣			274826		
记者	tɕi5 tsa3	ji4 za3	ji4 zhe3	赣			24649		
国际	kuɛt7 tɕi5	guet6 ji4	guo2 ji4	赣			199601		
机关	tɕi1 kuan1	ji1 guan1	ji1 guan1	赣			24504		
武汉	u3 hon6	wu3 hon5	wu3 han4	赣			24302		
虽然	sui1 lɛn5	sui1 len4	sui1 ran2	赣			129267		
根据	kiɛn1 tɕy5	gien1 jyu4	gen1 ju4	赣			274221		
法律	fat7 lit7	fat6 lit6	fa3 lv4	赣			24213		
包括	pau1 kuɔʔ7	bau1 guok6	bao1 kuo4	赣			274052		
发生	fat7 sɛn1	fat6 sen1	fa1 sheng1	赣			254052		
使用	sɿ3 iuŋ6	si3 yung5	shi3 yong4	赣			274035		
中心	tsuŋ1 ɕin1	zung1 xin1	zhong1 xin1	赣			48969		
教育	kau5 ȵiuʔ7	gau4 niuk6	jiao4 yu4	赣			173961		
要求	iɛu1 tɕʰiu2	yeu1 qiu2	yao1 qiu2	赣			273944		
政府	tsɨn5 fu3	zen4 fu3	zheng4 fu3	赣			178452		
因此	in1 tsʰɿ3	yin1 ci3	yin1 ci3	赣			73294		
人口	ȵin5 kʰiɛu3	nin4 kieu3	ren2 kou3	赣			103243		
建立	tɕiɛn5 lit7	jien4 lit6	jian4 li4	赣			108118		
参加	tsʰan1 ka1	can1 ga1	can1 jia1	赣			107828		
产品	tsʰan3 pʰin3	can3 pin3	chan3 pin3	赣			147801		
武汉市	u3 hon6 sɿ6	wu3 hon5 si5	wu3 han4 shi4	赣			22783		
而且	ɵ5 tɕʰia3	o4 qia3	er2 qie3	赣			272638		
一样	it7 iɔŋ6	yit6 yong5	yi1 yang4	官			272569		
面积	miɛn6 tɕit7	mien5 jit6	mian4 ji1	赣			72455		
各种	kɔʔ7 tsuŋ3	gok6 zung3	ge4 zhong3	赣			132183		
提出	tʰi2 tsʰuʔ7	ti2 cuk6	ti2 chu1	赣			252139		
我国	ŋo3 kuɛt7	ngo3 guet6	wo3 guo2	赣			47114		
作用	tsɔʔ7 iuŋ6	zok6 yung5	zuo4 yong4	赣			57078		
皇帝	fɔŋ5 ti5	fong4 di4	huang2 di4	赣			22050		
必须	pit7 ɕy1	bit6 xyu1	bi4 xu1	赣			271884		
行政	ɕin5 tsɨn5	xin4 zen4	xing2 zheng4	赣			46860		
编辑	piɛn1 tɕʰit7	bien1 qit6	bian1 ji2	赣			126691		
职业	tsɨt7 ȵiɛt7	zet6 niet6	zhi2 ye4	赣			21581		
制度	tsɿ5 tʰu6	zi4 tu5	zhi4 du4	赣			71517		
以后	i3 hɛu6	yi3 heu5	yi3 hou4	赣			221386		
你们	nen3 mɨn5	nen3 men4	ni3 men5	赣			246386		
说道	sot7 tʰau6	sot6 tau5	shuo1 dao4	赣			21168		
世纪	ɕi5 tɕi0	xi4 ji0	shi4 ji4	赣			131100		
为了	ui6 liɛu0	wui5 lieu0	wei4 le5	赣			271073		
应该	in5 kai1	yin4 gai1	ying1 gai1	赣			271067		
之一	tsɿ1 it7	zi1 yit6	zhi1 yi1	赣			21053		
之后	tsɿ1 hɛu6	zi1 heu5	zhi1 hou4	赣			270879		
主席	tsu3 ɕit7	zu3 xit6	zhu3 xi2	赣			20859		
系统	ɕi6 tʰuŋ3	xi5 tung3	xi4 tong3	赣			270602		
有关	iu3 kuan1	yiu3 guan1	you3 guan1	赣			85573		
民族	min5 tsʰuʔ7	min4 cuk6	min2 zu2	赣			50524		
基本	tɕi1 pɨn3	ji1 ben3	ji1 ben3	赣			270479		
增长	tsɛn1 tsɔŋ3	zen1 zong3	zeng1 zhang3	赣			35465		
自然	tsʰɿ6 lɛn5	ci5 len4	zi4 ran2	赣			270269		
大学	tʰai6 hɔʔ8	tai5 hok7	da4 xue2	赣			90025		
如何	lu5 ho2	lu4 ho2	ru2 he2	赣			269871		
政体	tsɨn5 tʰi3	zen4 ti3	zheng4 ti3	赣			19865		
各级	kɔʔ7 tɕit7	gok6 jit6	ge4 ji2	赣			19839		
人员	ȵin5 yon5	nin4 yuon4	ren2 yuan2	赣			94810		
计划	tɕi5 fa2	ji4 fa2	ji4 hua4	赣			269799		
不会	pet7 ui6	bet6 wui5	bu2 hui4	赣			269515		
产生	tsʰan3 sɛn1	can3 sen1	chan3 sheng1	赣			269495		
时期	sɿ5 tɕʰi2	si4 qi2	shi2 qi1	赣			19421		
最后	tsui5 hɛu6	zui4 heu5	zui4 hou4	赣			269355		
一次	it7 tsʰɿ3	yit6 ci3	yi1 ci4	赣			269249		
表示	piɛu3 sɿ6	bieu3 si5	biao3 shi4	赣			119238		
机构	tɕi1 kiɛu5	ji1 gieu4	ji1 gou4	赣			19209		
当时	tɔŋ1 sɿ5	dong1 si4	dang1 shi2	赣			269195		
大家	tʰai6 ka1	tai5 ga1	da4 jia1	赣			144177		
特别	tʰet8 pʰiɛt8	tet7 piet7	te4 bie2	赣			269119		
改革	kai3 kiɛt7	gai3 giet6	gai3 ge2	赣			19018		
长江	tsʰɔŋ2 kɔŋ1	cong2 gong1	chang2 jiang1	赣			268930		
那么	la3 iɛu1	la3 yeu1	na4 me5	官			268923		
这么	tsa3 iɛu1	za3 yeu1	zhe4 me5	官			268886		
东西	tuŋ1 ɕi1	dung1 xi1	dong1 xi1	赣			268877		
能力	lɛn5 lit7	len4 lit6	neng2 li4	赣			268874		
湖北省	fu5 pɛt7 sen3	fu4 bet6 sen3	hu2 bei3 sheng3	赣			18868		
革命	kiɛt7 min6	giet6 min5	ge2 ming4	赣			18856		
一直	it7 tsʰɨt8	yit6 cet7	yi4 zhi2	官			268596		
基础	tɕi1 tsʰu3	ji1 cu3	ji1 chu3	赣			268510		
还有	hat7 iu3	hat6 yiu3	hai2 you3	赣			268487		
得到	tɛt7 tau5	det6 dau4	de2 dao4	赣			178464		
进入	tɕin5 luʔ7	jin4 luk6	jin4 ru4	赣			268436		
运动	yn6 tʰuŋ6	yun5 tung5	yun4 dong4	赣			268435		
目前	muʔ7 tɕʰiɛn2	muk6 qien2	mu4 qian2	赣			198396		
对于	tui5 y5	dui4 yu4	dui4 yu2	赣			268058		
过程	kuo5 tsʰɨn2	guo4 cen2	guo4 cheng2	赣			103051		
方法	fɔŋ1 fat7	fong1 fat6	fang1 fa3	赣			268045		
举行	tɕy3 ɕin5	jyu3 xin4	ju3 xing2	赣			17900		
群众	tɕʰyn2 tsuŋ5	qyun2 zung4	qun2 zhong4	赣			17849		
第一	tʰi6 it7	ti5 yit6	di4 yi1	赣			267725		
单位	tan1 ui6	dan1 wui5	dan1 wei4	赣			247532		
如此	lu5 tsʰɿ3	lu4 ci3	ru2 ci3	赣			177518		
孩子	hai2 tsɿ3	hai2 zi3	hai2 zi5	赣			22465		
所有	so3 iu3	so3 yiu3	suo3 you3	赣			267464		
资源	tsɿ1 ȵyon5	zi1 nyuon4	zi1 yuan2	赣			267453		
过去	kuo5 tɕʰiᴇ3	guo4 qie3	guo4 qu4	赣			142444		
不过	pet7 kuo5	bet6 guo4	bu4 guo4	赣			267372		
条件	tʰiɛu2 tɕʰiɛn6	tieu2 qien5	tiao2 jian4	赣			207290		
学校	hɔʔ8 kau5	hok7 gau4	xue2 xiao4	官			17020		
提高	tʰi2 kau1	ti2 gau1	ti2 gao1	赣			266882		
工程	kuŋ1 tsʰɨn2	gung1 cen2	gong1 cheng2	赣			156869		
环境	fan5 tɕin0	fan4 jin0	huan2 jing4	赣			266811		
提供	tʰi2 kuŋ1	ti2 gung1	ti2 gong1	赣			206799		
方式	fɔŋ1 sɨt7	fong1 set6	fang1 shi4	赣			266797		
百科	paʔ7 kʰuo1	bak6 kuo1	bai3 ke1	赣			121728		
报告	pau5 kau5	bau4 gau4	bao4 gao4	赣			266715		
或者	fɛt7 tsa3	fet6 za3	huo4 zhe3	赣			266633		
下来	ha6 lei5	ha5 lei4	xia4 lai2	赣			71620		
军事	tɕyn1 sɿ6	jyun1 si5	jun1 shi4	赣			146552		
部门	pʰu6 mɨn5	pu5 men4	bu4 men2	赣			41543		
分别	fɨn1 pʰiɛt8	fen1 piet7	fen1 bie2	赣			266537		
上海	sɔŋ6 hai3	song5 hai3	shang4 hai3	赣			41377		
完成	uon5 tsʰɨn2	won4 cen2	wan2 cheng2	官			266365		
一切	it7 tɕʰiɛt7	yit6 qiet6	yi1 qie4	赣			246361		
那些	la3 ɕiɛt7	la3 xiet6	na4 xie1	官			266360		
最大	tsui5 tʰai6	zui4 tai5	zui4 da4	赣			266299		
然后	lɛn5 hɛu6	len4 heu5	ran2 hou4	赣			266239		
农业	luŋ5 ȵiɛt7	lung4 niet6	nong2 ye4	赣			16233		
经过	tɕin1 kuo5	jin1 guo4	jing1 guo4	赣			46218		
专业	tson1 ȵiɛt7	zon1 niet6	zhuan1 ye4	赣			196214		
准备	tsun3 pʰi5	zun3 pi4	zhun3 bei4	赣			226199		
增加	tsɛn1 ka1	zen1 ga1	zeng1 jia1	赣			266195		
获得	fuʔ7 tɛt7	fuk6 det6	huo4 de2	赣			96128		
旅游	li3 iu5	li3 yiu4	lv3 you2	赣			16124		
觉得	kɔʔ7 tɛt7	gok6 det6	jue2 de5	赣			265995		
一起	it7 tɕʰi3	yit6 qi3	yi4 qi3	赣			265976		
理论	li3 lɨn6	li3 len5	li3 lun4	赣			265973		
今天	tɕin1 tʰiɛn1	jin1 tien1	jin1 tian1	官			265960		
非常	fɨi1 sɔŋ5	fei1 song4	fei1 chang2	赣			265958		
中央	tsuŋ1 iɔŋ1	zung1 yong1	zhong1 yang1	赣			15954		
比较	pi3 kau5	bi3 gau4	bi3 jiao4	赣			265910		
表现	piɛu3 ɕiɛn6	bieu3 xien5	biao3 xian4	赣			120867		
价值	ka5 tsɿʔ8	ga4 zik7	jia4 zhi2	赣			150777		
国务院	kuɛt7 u6 yon6	guet6 wu5 yuon5	guo2 wu4 yuan4	赣			15768		
科技	kʰuo1 tɕʰi6	kuo1 qi5	ke1 ji4	赣			115691		
完全	uon5 tɕʰyon2	won4 qyuon2	wan2 quan2	赣			265627		
亿元	i5 ȵyon5	yi4 nyuon4	yi4 yuan2	赣			15600		
有些	iu3 ɕiɛt7	yiu3 xiet6	you3 xie1	赣			265584		
存在	tsʰun2 tsʰai6	cun2 cai5	cun2 zai4	赣			265579		
达到	tʰat7 tau5	tat6 dau4	da2 dao4	赣			205471		
内容	lui6 iuŋ5	lui5 yung4	nei4 rong2	赣			265468		
实行	sɿʔ7 ɕin5	sik6 xin4	shi2 xing2	赣			15400		
思想	sɿ1 ɕiɔŋ3	si1 xiong3	si1 xiang3	赣			40387		
事情	sɿ6 tɕʰin2	si5 qin2	shi4 qing2	赣			265354		
实现	sɿʔ7 ɕiɛn6	sik6 xien5	shi2 xian4	赣			265301		
甚至	sɨn6 tsɿ5	sen5 zi4	shen4 zhi4	赣			70239		
任务	lɨn6 u6	len5 wu5	ren4 wu4	赣			265213		
选举	ɕyon3 tɕy3	xyuon3 jyu3	xuan3 ju3	赣			15208		
形式	ɕin5 sɨt7	xin4 set6	xing2 shi4	赣			245188		
原来	ȵyon5 lei5	nyuon4 lei4	yuan2 lai2	赣			265084		
有人	iu3 ȵin5	yiu3 nin4	you3 ren2	赣			125007		
突然	tʰɨt7 lɛn5	tet6 len4	tu1 ran2	赣			264998		
不断	pet7 tʰon6	bet6 ton5	bu4 duan4	赣			49972		
咱们	tsʰan2 mɨn5	can2 men4	zan2 men5	赣			89946		
变化	piɛn5 ɸᴀ5	bien4 fa4	bian4 hua4	赣			244935		
心中	ɕin1 tsuŋ1	xin1 zung1	xin1 zhong1	赣			14906		
直接	tsɿʔ8 tɕiɛt7	zik7 jiet6	zhi2 jie1	赣			264906		
可是	kʰo3 sɿ6	ko3 si5	ke3 shi4	赣			139820		
不知	pet7 tsɿ1	bet6 zi1	bu4 zhi1	赣			64806		
政策	tsɨn5 tsʰɛt7	zen4 cet6	zheng4 ce4	赣			264792		
不要	pet7 iɛu1	bet6 yeu1	bu2 yao4	赣			264786		
资本	tsɿ1 pɨn3	zi1 ben3	zi1 ben3	赣			44732		
继续	tɕi5 suʔ7	ji4 suk6	ji4 xu4	赣			264690		
年代	ȵiɛn5 tʰai6	nien4 tai5	nian2 dai4	赣			39659		
期间	tɕʰi2 kan1	qi2 gan1	qi1 jian1	赣			169656		
位于	ui6 y5	wui5 yu4	wei4 yu2	赣			64654		
任何	lɨn6 ho2	len5 ho2	ren4 he2	赣			264635		
权力	tɕʰyon2 lit7	qyuon2 lit6	quan2 li4	赣			19581		
那个	la3 ko5	la3 go4	na4 ge5	官			264550		
执行	tsɨt7 ɕin5	zet6 xin4	zhi2 xing2	赣			264504		
先生	ɕiɛn1 sɛn1	xien1 sen1	xian1 sheng1	赣			14470		
解决	kai3 tɕyot7	gai3 jyuot6	jie3 jue2	赣			264468		
建筑	tɕiɛn5 tsuʔ7	jien4 zuk6	jian4 zhu4	赣			214397		
能够	lɛn5 kiɛu5	len4 gieu4	neng2 gou4	赣			264382		
自治区	tsʰɿ6 tsʰɿ6 tɕʰy1	ci5 ci5 qyu1	zi4 zhi4 qu1	赣			64344		
称为	tsʰɨn1 ui6	cen1 wui5	cheng1 wei2	赣			14328		
结构	tɕiɛt7 kiɛu5	jiet6 gieu4	jie2 gou4	赣			264200		
一点	it7 tiɛn3	yit6 dien3	yi4 dian3	官			264165		
英国	in1 kuɛt7	yin1 guet6	ying1 guo2	赣			189049		
社会主义	sa6 fɨi6 tsu3 ȵi6	sa5 fei5 zu3 ni5	she4 hui4 zhu3 yi4	赣			13995		
统一	tʰuŋ3 it7	tung3 yit6	tong3 yi1	赣			263986		
先进	ɕiɛn1 tɕin5	xien1 jin4	xian1 jin4	赣			13966		
结果	tɕiɛt7 kuo3	jiet6 guo3	jie2 guo3	赣			263963		
投资	tʰɛu2 tsɿ1	teu2 zi1	tou2 zi1	赣			143943		
后来	hɛu6 lei5	heu5 lei4	hou4 lai2	赣			88932		
一下	it7 ha6	yit6 ha5	yi1 xia4	赣			310000		
一下	it7 ha6	ya	yi1 xia4	赣			310000		
水平	sui3 pʰin2	sui3 pin2	shui3 ping2	赣			263880		
保护	pau3 fu6	bau3 fu5	bao3 hu4	赣			18874		
主任	tsu3 lɨn6	zu3 len5	zhu3 ren4	赣			38853		
关于	kuan1 y5	guan1 yu4	guan1 yu2	赣			218762		
负责	fu6 tsɛt7	fu5 zet6	fu4 ze2	赣			18745		
艺术	ȵi6 suət7	ni5 suet6	yi4 shu4	赣			13626		
利用	li6 iuŋ6	li5 yung5	li4 yong4	赣			263559		
于是	y5 sɿ6	yu4 si5	yu2 shi4	官			13536		
学习	hɔʔ8 ɕit7	hok7 xit6	xue2 xi2	赣			123482		
合作	hot8 tsɔʔ7	hot7 zok6	he2 zuo4	赣			38478		
科学	kʰuo1 hɔʔ8	kuo1 hok7	ke1 xue2	赣			118460		
看到	kʰon3 tau5	kon3 dau4	kan4 dao4	赣			263411		
项目	hɔːŋ6 muʔ7	hong5 muk6	xiang4 mu4	赣			263257		
不敢	pet7 kon3	bet6 gon3	bu4 gan3	赣			38208		
襄阳	ɕiɔŋ1 iɔŋ5	xiong1 yong4	xiang1 yang2	赣			13196		
几个	tɕi3 ko5	ji3 go4	ji3 ge4	赣			263134		
那里	la3 li3	la3 li3	na4 li3	官			243132		
公里	kuŋ1 li3	gung1 li3	gong1 li3	赣			13083		
服务	fuʔ8 u6	fuk7 wu5	fu2 wu4	赣			93036		
精神	tɕin1 sɨn5	jin1 sen4	jing1 shen2	赣			37961		
全省	tɕʰyon2 sen3	qyuon2 sen3	quan2 sheng3	赣			12895		
当然	tɔŋ1 lɛn5	dong1 len4	dang1 ran2	赣			262865		
个人	ko5 ȵin5	go4 nin4	ge4 ren2	赣			12744		
超过	tsʰɛu1 kuo5	ceu1 guo4	chao1 guo4	赣			67732		
重点	tsʰuŋ2 tiɛn3	cung2 dien3	zhong4 dian3	赣			147694		
很多	hɛn3 to1	hen3 do1	hen3 duo1	官			217687		
原因	ȵyon5 in1	nyuon4 yin1	yuan2 yin1	赣			262682		
及其	tɕit7 tɕʰi2	jit6 qi2	ji2 qi2	赣			262663		
公民	kuŋ1 min5	gung1 min4	gong1 min2	赣			37636		
希望	ɕi1 uɔŋ6	xi1 wong5	xi1 wang4	赣			262597		
新闻	ɕin1 uen5	xin1 wun4	xin1 wen2	赣			12562		
设计	sɛt7 tɕi5	set6 ji4	she4 ji4	赣			262474		
相关	ɕiɔŋ1 kuan1	xiong1 guan1	xiang1 guan1	赣			262463		
国内	kuɛt7 lui6	guet6 lui5	guo2 nei4	赣			67450		
分布	fɨn1 pu5	fen1 bu4	fen1 bu4	赣			37435		
最高	tsui5 kau1	zui4 gau1	zui4 gao1	赣			162430		
部队	pʰu6 tui5	pu5 dui4	bu4 dui4	赣			12400		
它们	tʰa1 mɨn5	ta1 men4	ta1 men5	赣			62359		
集团	tɕit7 tʰon2	jit6 ton2	ji2 tuan2	赣			12298		
信息	ɕin5 ɕit7	xin4 xit6	xin4 xi1	赣			262256		
采用	tsʰai3 iuŋ6	cai3 yung5	cai3 yong4	赣			262193		
重大	tsʰuŋ2 tʰai6	cung2 tai5	zhong4 da4	赣			112193		
回来	fɨi5 lei5	fei4 lei4	hui2 lai2	赣			67128		
范围	fan6 ui5	fan5 wui4	fan4 wei2	赣			262101		
引起	in3 tɕʰi3	yin3 qi3	yin3 qi3	赣			37074		
实际	sɿʔ7 tɕi5	sik6 ji4	shi2 ji4	赣			262010		
其实	tɕʰi2 sɿʔ7	qi2 sik6	qi2 shi2	赣			201950		
不仅	pet7 tɕin3	bet6 jin3	bu4 jin3	赣			111895		
取得	tɕʰy3 tɛt7	qyu3 det6	qu3 de2	赣			36882		
丰富	fuŋ1 fu5	fung1 fu4	feng1 fu4	赣			61867		
农民	luŋ5 min5	lung4 min4	nong2 min2	赣			11866		
整个	tsɨn3 ko5	zen3 go4	zheng3 ge4	赣			136839		
为主	ui6 tsu3	wui5 zu3	wei2 zhu3	赣			111807		
了解	liɛu3 kai3	lieu3 gai3	liao3 jie3	赣			261774		
价格	ka5 kiɛt7	ga4 giet6	jia4 ge2	赣			161762		
甚么	sɨn6 iɛu1	sen5 yeu1	shen2 me5	赣			11717		
地位	tʰi6 ui6	ti5 wui5	di4 wei4	赣			176660		
这时	tsa3 sɿ5	za3 si4	zhe4 shi2	官			11628		
劳动	lau5 tʰuŋ6	lau4 tung5	lao2 dong4	赣			11598		
按照	ŋon5 tsɛu5	ngon4 zeu4	an4 zhao4	赣			261557		
控制	kʰuŋ3 tsɿ5	kung3 zi4	kong4 zhi4	赣			91537		
目标	muʔ7 piɛu1	muk6 bieu1	mu4 biao1	赣			171527		
基地	tɕi1 tʰi6	ji1 ti5	ji1 di4	赣			36481		
农村	luŋ5 tsʰun1	lung4 cun1	nong2 cun1	赣			36478		
传统	tsʰon2 tʰuŋ3	con2 tung3	chuan2 tong3	赣			41445		
受到	seu6 tau5	seu5 dau4	shou4 dao4	赣			136428		
全部	tɕʰyon2 pʰu6	qyuon2 pu5	quan2 bu4	赣			261398		
法国	fat7 kuɛt7	fat6 guet6	fa3 guo2	赣			11361		
比赛	pi3 sai5	bi3 sai4	bi3 sai4	赣			41336		
军队	tɕyn1 tui5	jyun1 dui4	jun1 dui4	赣			11317		
土地	tʰu3 tʰi6	tu3 ti5	tu3 di4	赣			11240		
规模	kui1 mu5	gui1 mu4	gui1 mo2	赣			11239		
荆州	tɕin1 tsɛu1	jin1 zeu1	jing1 zhou1	赣			11210		
眼睛	ŋæn3 tɕin1	ngan3 jin1	yan3 jing1	赣			11190		
左右	tso3 iu6	zo3 yiu5	zuo3 you4	赣			31169		
选择	ɕyon3 tsʰɛt7	xyuon3 cet6	xuan3 ze2	赣			261160		
批准	pʰi1 tsun3	pi1 zun3	pi1 zhun3	赣			136157		
